[00:14:47] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 120.0/150.0 (S: 120.0/150.0) | Tav: 0.8
[00:30:45] Oliver_Aciano sebzest kapott tole: Daniel_Gatsby | sebzes: Ököl (-1.3) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 1.0
[00:33:53] Henrik_T_Scaletta sebzest kapott tole: Nagato_Brasco | sebzes: Ököl (-1.3) | E/P: 113.5/96.6 (S: 113.5/96.6) | Tav: 0.6
[00:33:54] Henrik_T_Scaletta sebzest kapott tole: Nagato_Brasco | sebzes: Ököl (-2.3) | E/P: 113.5/96.6 (S: 113.5/96.6) | Tav: 0.6
[00:33:54] Henrik_T_Scaletta sebzest kapott tole: Nagato_Brasco | sebzes: Ököl (-1.3) | E/P: 113.5/96.6 (S: 113.5/96.6) | Tav: 0.7
[00:34:09] Henrik_T_Scaletta sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 113.5/96.6 (S: 113.5/96.6) | Tav: 0.7
[00:35:03] NPC_2Bank sebzest kapott tole: Daniel_Gatsby | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.6
[00:35:03] NPC_2Bank sebzest kapott tole: Daniel_Gatsby | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.6
[00:35:34] Daniel_Gatsby sebzest kapott tole: Oliver_Aciano | sebzes: Ököl (-1.3) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 1.0
[00:38:19] Edie_Morra sebzest kapott tole: Nagato_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:38:32] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:33] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:34] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
