[01:52:34] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 105.7/0.0 (S: 105.7/0.0) | Tav: 2.1
[01:52:37] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 82.5/0.0 (S: 82.5/0.0) | Tav: 1.9
[01:52:37] Nick_Vitale sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 121.3/83.5 (S: 121.3/83.5) | Tav: 1.1
[01:52:37] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 79.9/0.0 (S: 79.9/0.0) | Tav: 1.3
[01:52:37] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 77.2/0.0 (S: 77.2/0.0) | Tav: 0.9
[01:52:37] Nick_Vitale sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 121.3/80.8 (S: 121.3/80.8) | Tav: 1.0
[01:52:38] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 74.6/0.0 (S: 74.6/0.0) | Tav: 0.3
[01:52:39] Nick_Vitale sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 121.3/78.2 (S: 121.3/78.2) | Tav: 1.0
[01:52:39] Nick_Vitale sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 121.3/75.5 (S: 121.3/75.5) | Tav: 1.0
[01:52:39] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 72.0/0.0 (S: 72.0/0.0) | Tav: 1.1
[01:52:40] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 69.3/0.0 (S: 69.3/0.0) | Tav: 1.1
[01:52:40] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 66.7/0.0 (S: 66.7/0.0) | Tav: 1.1
[01:52:41] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 64.0/0.0 (S: 64.0/0.0) | Tav: 1.1
[01:52:42] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 61.4/0.0 (S: 61.4/0.0) | Tav: 1.1
[01:52:43] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 58.8/0.0 (S: 58.8/0.0) | Tav: 1.1
[01:52:43] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 56.1/0.0 (S: 56.1/0.0) | Tav: 1.1
[01:52:43] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 53.5/0.0 (S: 53.5/0.0) | Tav: 1.1
[01:52:45] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 50.8/0.0 (S: 50.8/0.0) | Tav: 1.1
[01:52:45] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 48.2/0.0 (S: 48.2/0.0) | Tav: 1.1
[01:52:47] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 45.6/0.0 (S: 45.6/0.0) | Tav: 1.1
[01:52:48] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 42.9/0.0 (S: 42.9/0.0) | Tav: 0.8
[01:52:48] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 40.3/0.0 (S: 40.3/0.0) | Tav: 0.4
[01:52:49] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 37.6/0.0 (S: 37.6/0.0) | Tav: 0.1
[01:52:50] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 35.0/0.0 (S: 35.0/0.0) | Tav: 0.1
[01:52:50] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 32.4/0.0 (S: 32.4/0.0) | Tav: 0.1
[01:52:51] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 29.7/0.0 (S: 29.7/0.0) | Tav: 0.1
[01:52:52] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 27.1/0.0 (S: 27.1/0.0) | Tav: 0.1
[01:52:52] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 24.4/0.0 (S: 24.4/0.0) | Tav: 0.1
[01:52:52] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 21.8/0.0 (S: 21.8/0.0) | Tav: 0.1
[01:52:53] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 19.2/0.0 (S: 19.2/0.0) | Tav: 0.1
[01:52:53] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 16.5/0.0 (S: 16.5/0.0) | Tav: 0.1
[01:52:54] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.1
[01:52:55] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.4
