[00:23:32] Krisztofer_Vincenzo sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 131.0/20.0 (S: 131.0/20.0) | Tav: 10.9
[00:23:32] Krisztofer_Vincenzo sebzest kapott tole: Yamato_Bosco | sebzes: M4 (-9.9) | E/P: 130.8/0.0 (S: 130.8/0.0) | Tav: 10000.0
[00:23:32] Krisztofer_Vincenzo sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.8/0.0 (S: 130.8/0.0) | Tav: 10000.0
[00:23:32] Krisztofer_Vincenzo sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.8/0.0 (S: 130.8/0.0) | Tav: 10000.0
[00:23:33] Yamato_Bosco sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/75.0 (S: 150.0/75.0) | Tav: 26.5
[00:23:33] Tyler_Wish sebzest kapott tole: Yamato_Bosco | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 26.4
[00:23:33] Tyler_Wish sebzest kapott tole: Yamato_Bosco | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 26.5
[00:23:33] Yamato_Bosco sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/55.0 (S: 150.0/55.0) | Tav: 26.5
[00:23:33] Tyler_Wish sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 34.3
[00:23:33] Tyler_Wish sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 10000.0
[00:23:34] Tyler_Wish sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 10000.0
[00:24:12] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 0.6
[00:24:15] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 130.7/0.0 (S: 130.7/0.0) | Tav: 1.6
[00:24:16] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-2.6) | E/P: 126.4/0.0 (S: 126.4/0.0) | Tav: 0.6
[00:24:16] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-1.6) | E/P: 123.7/0.0 (S: 123.7/0.0) | Tav: 0.7
[00:24:17] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 122.1/0.0 (S: 122.1/0.0) | Tav: 0.7
[00:24:19] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 117.8/0.0 (S: 117.8/0.0) | Tav: 0.7
[00:24:19] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 111.2/0.0 (S: 111.2/0.0) | Tav: 0.7
[00:24:19] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-6.6) | E/P: 104.6/0.0 (S: 104.6/0.0) | Tav: 0.7
[00:24:22] Cseszka_R_Davidson sebzest kapott tole: Johan_B_Black | sebzes: Ököl (-4.2) | E/P: 98.0/0.0 (S: 98.0/0.0) | Tav: 1.0
[00:26:49] Jason_Toretto sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 150.0/143.3 (S: 150.0/143.3) | Tav: 0.7
[00:26:55] Aldo_B_Dueno sebzest kapott tole: Tom_Torres | sebzes: MP5 (-8.2) | E/P: 149.0/20.0 (S: 149.0/20.0) | Tav: 2.3
[00:26:55] Aldo_B_Dueno sebzest kapott tole: Tom_Torres | sebzes: MP5 (-8.2) | E/P: 149.0/11.7 (S: 149.0/11.7) | Tav: 2.3
[00:30:34] Preston_R_Wilson sebzest kapott tole: Antonn_Fedorov | sebzes: Sniper (-41.2) | E/P: 95.0/92.4 (S: 95.0/92.4) | Tav: 123.5
[00:38:52] NPC_Vonatsofor_LS_2 sebzest kapott tole: David_Toretto | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.6
[00:39:06] Krisztofer_Vincenzo sebzest kapott tole: Ryan_Lennox | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 7.7
[00:39:06] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 14.5
[00:39:06] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 14.5
[00:39:07] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
