[02:23:54] Tom_Torres sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.7
[02:38:19] Elwood_JR_Sorrentino sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/83.1 (S: 150.0/83.1) | Tav: 0.7
[02:42:47] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.4
[02:42:47] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.3
[02:42:48] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.9
[02:42:52] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.2
[02:42:53] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.7
[02:42:54] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.8
[02:42:54] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.0
[02:42:54] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.2
[02:42:55] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.4
[02:42:55] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.4
[02:42:56] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.5
[02:42:56] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.1
[02:42:57] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.6) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.7
[02:42:57] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[02:42:59] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[02:42:59] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.4
[02:43:00] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[02:43:01] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[02:43:01] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[02:43:02] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 1.5
[02:43:02] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[02:43:03] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.4
[02:43:05] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[02:43:06] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.4
[02:43:06] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[02:43:09] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.9) | E/P: 130.0/5.0 (S: 130.0/5.0) | Tav: 0.6
[02:43:10] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-5.2) | E/P: 130.0/5.0 (S: 130.0/5.0) | Tav: 0.6
[02:43:11] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.9) | E/P: 130.0/5.0 (S: 130.0/5.0) | Tav: 0.7
[02:43:12] Milinte_Brasco sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[02:43:15] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.8
[02:43:16] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.6
[02:43:17] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-2.3) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.7
[02:43:17] Krisztofer_Vincenzo sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-3.9) | E/P: 105.0/80.1 (S: 105.0/80.1) | Tav: 0.7
[03:07:08] Don_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 132.0/100.0 (S: 132.0/100.0) | Tav: 1.5
[03:13:28] Don_Sorrentino sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 132.0/98.6 (S: 132.0/98.6) | Tav: 0.6
[03:21:53] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[03:29:50] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.7
[03:29:51] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 0.7
[03:29:51] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[03:29:52] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 0.7
[03:29:52] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 0.7
[03:29:53] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.9) | E/P: 142.4/0.0 (S: 142.4/0.0) | Tav: 0.7
[03:29:54] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-5.2) | E/P: 140.4/0.0 (S: 140.4/0.0) | Tav: 0.7
[03:30:02] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 135.1/0.0 (S: 135.1/0.0) | Tav: 0.7
[03:30:03] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 133.8/0.0 (S: 133.8/0.0) | Tav: 0.7
[03:30:04] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 131.5/0.0 (S: 131.5/0.0) | Tav: 0.7
[03:30:05] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-6.6) | E/P: 127.6/0.0 (S: 127.6/0.0) | Tav: 0.7
[03:30:09] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:30:09] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:30:10] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:30:26] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 121.0/0.0 (S: 121.0/0.0) | Tav: 0.7
[03:30:27] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 119.6/0.0 (S: 119.6/0.0) | Tav: 0.7
[03:30:28] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 118.3/0.0 (S: 118.3/0.0) | Tav: 0.7
[03:30:29] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 117.0/0.0 (S: 117.0/0.0) | Tav: 0.7
[03:30:40] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 115.7/0.0 (S: 115.7/0.0) | Tav: 0.7
[03:30:41] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 114.4/0.0 (S: 114.4/0.0) | Tav: 0.7
