[01:24:41] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 65.8/0.0 (S: 65.8/0.0) | Tav: 1.3
[01:24:42] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 59.2/0.0 (S: 59.2/0.0) | Tav: 2.2
[01:25:30] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:25:31] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:25:31] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:25:32] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:25:33] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:26:07] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[01:26:08] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[01:26:08] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[01:26:08] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
[01:26:08] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.9
