[09:29:53] Damien_Q_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 52.0/0.0 (S: 52.0/0.0) | Tav: 2.4
[09:29:53] Damien_Q_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 52.0/0.0 (S: 52.0/0.0) | Tav: 2.5
[09:29:54] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/100.0 (S: 113.3/100.0) | Tav: 7.1
[09:29:54] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/100.0 (S: 113.3/100.0) | Tav: 6.7
[09:29:58] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/100.0 (S: 113.3/100.0) | Tav: 9.5
[09:29:58] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/91.7 (S: 113.3/91.7) | Tav: 9.9
[09:29:58] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/83.5 (S: 113.3/83.5) | Tav: 10.2
[09:29:58] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/83.5 (S: 113.3/83.5) | Tav: 10.2
[09:29:59] Shura_Sharma sebzest kapott tole: Mikhail_Bratislav | sebzes: MP5 (-8.2) | E/P: 113.3/83.5 (S: 113.3/83.5) | Tav: 10.2
[09:29:59] Siska_Finuccsi sebzest kapott tole: Pablo_S_Carcassone | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 2.9
[09:29:59] Siska_Finuccsi sebzest kapott tole: Pablo_S_Carcassone | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.7
[09:29:59] Pablo_S_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 150.0/15.0 (S: 150.0/15.0) | Tav: 1.3
[09:30:00] Pablo_S_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 125.0/0.0 (S: 125.0/0.0) | Tav: 1.3
[09:30:00] Pablo_S_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 125.0/0.0 (S: 125.0/0.0) | Tav: 1.3
[09:30:00] Siska_Finuccsi sebzest kapott tole: Pablo_S_Carcassone | sebzes: MP5 (-8.2) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 1.3
[09:30:00] Pablo_S_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 85.0/0.0 (S: 85.0/0.0) | Tav: 1.2
[09:30:00] Siska_Finuccsi sebzest kapott tole: Pablo_S_Carcassone | sebzes: MP5 (-8.2) | E/P: 150.0/83.5 (S: 150.0/83.5) | Tav: 1.1
[09:30:00] Siska_Finuccsi sebzest kapott tole: Pablo_S_Carcassone | sebzes: MP5 (-8.2) | E/P: 150.0/83.5 (S: 150.0/83.5) | Tav: 1.1
[09:30:01] Siska_Finuccsi sebzest kapott tole: Pablo_S_Carcassone | sebzes: MP5 (-8.2) | E/P: 150.0/83.5 (S: 150.0/83.5) | Tav: 1.1
[09:31:30] James_Aciano sebzest kapott tole: Paul_D_Cortez | sebzes: Ököl (-1.3) | E/P: 132.0/79.5 (S: 132.0/79.5) | Tav: 0.7
[09:54:08] Matthew_Queen sebzest kapott tole: Mikhail_Bratislav | sebzes: Ököl (-1.9) | E/P: 150.0/83.0 (S: 150.0/83.0) | Tav: 0.8
[09:54:09] Matthew_Queen sebzest kapott tole: Mikhail_Bratislav | sebzes: Ököl (-5.2) | E/P: 150.0/81.1 (S: 150.0/81.1) | Tav: 0.6
[09:54:51] Mikhail_Bratislav sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 104.8/0.0 (S: 104.8/0.0) | Tav: 0.3
[09:54:51] Mikhail_Bratislav sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 103.4/0.0 (S: 103.4/0.0) | Tav: 0.6
[09:54:52] Mikhail_Bratislav sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 102.1/0.0 (S: 102.1/0.0) | Tav: 0.8
[09:54:53] Mikhail_Bratislav sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 100.8/0.0 (S: 100.8/0.0) | Tav: 0.8
[09:54:53] Mikhail_Bratislav sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 100.8/0.0 (S: 100.8/0.0) | Tav: 0.5
[10:03:18] John_Salivan sebzest kapott tole: Cody_Aciano | sebzes: Ököl (-1.3) | E/P: 147.0/100.0 (S: 147.0/100.0) | Tav: 0.6
