[00:02:50] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 63.3
[00:04:59] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 23.7
[00:04:59] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 23.6
[00:05:05] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.8
[00:05:06] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 2.8
[00:05:06] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 2.8
[00:05:06] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 2.8
[00:05:09] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 3.7
[00:05:12] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 10.3
[00:05:12] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 10.3
[00:05:12] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 10.3
[00:05:12] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 10.3
[00:05:15] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 18.9
[00:05:16] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 18.8
[00:05:17] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.3
[00:05:17] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 17.3
[00:05:17] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.9
[00:05:17] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 16.4
[00:05:22] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 22.0
[00:05:22] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 21.6
[00:05:27] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 15.5
[00:05:27] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 14.9
[00:05:28] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 12.9
[00:05:28] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 12.7
[00:05:28] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 7.8
