[01:00:08] Frank_Cadillac sebzest kapott tole: Jack_Bryan | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[01:00:14] Frank_Cadillac sebzest kapott tole: Jack_Bryan | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[01:04:26] Sergei_B_Dueno sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-1.3) | E/P: 124.0/5.0 (S: 124.0/5.0) | Tav: 1.3
[01:06:36] Phil_Stinson sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.3) | E/P: 79.4/50.5 (S: 79.4/50.5) | Tav: 0.7
[01:07:37] Amos_Toretto sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 1.1
[01:11:40] Tyler_Wish sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-1.3) | E/P: 150.0/44.1 (S: 150.0/44.1) | Tav: 0.5
[01:11:40] Darius_N_Ortega sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.3) | E/P: 146.4/0.0 (S: 146.4/0.0) | Tav: 0.5
[01:12:32] Darius_N_Ortega sebzest kapott tole: Tyler_Wish | sebzes: Deagle (-46.2) | E/P: 146.4/0.0 (S: 146.4/0.0) | Tav: 60.7
[01:13:39] Darius_N_Ortega sebzest kapott tole: Tyler_Wish | sebzes: Deagle (-46.2) | E/P: 146.4/0.0 (S: 146.4/0.0) | Tav: 41.7
[01:18:53] Guillermo_Butler sebzest kapott tole: Damien_Q_Carcassone | sebzes: Ököl (-1.3) | E/P: 138.6/5.0 (S: 138.6/5.0) | Tav: 1.1
[01:19:18] Frank_Cadillac sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.7
[01:20:52] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[01:21:20] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 1.3
[01:21:20] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 1.2
[01:22:31] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 149.7/0.0 (S: 149.7/0.0) | Tav: 0.6
[01:22:31] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 148.3/0.0 (S: 148.3/0.0) | Tav: 0.6
[01:22:32] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-2.3) | E/P: 147.0/0.0 (S: 147.0/0.0) | Tav: 0.5
[01:22:32] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-3.9) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 0.6
[01:22:33] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 140.8/0.0 (S: 140.8/0.0) | Tav: 0.7
[01:22:35] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 139.4/0.0 (S: 139.4/0.0) | Tav: 1.2
[01:22:36] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-2.3) | E/P: 139.4/0.0 (S: 139.4/0.0) | Tav: 0.8
[01:22:39] Connor_O_Neill sebzest kapott tole: Jim_Handerson | sebzes: Ököl (-1.3) | E/P: 137.1/0.0 (S: 137.1/0.0) | Tav: 1.2
[01:23:32] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
