[00:08:51] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/17.3 (S: 150.0/17.3) | Tav: 1.1
[00:08:51] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/10.7 (S: 150.0/10.7) | Tav: 1.1
[00:08:52] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/4.1 (S: 150.0/4.1) | Tav: 1.1
[00:08:52] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 147.5/0.0 (S: 147.5/0.0) | Tav: 1.1
[00:08:53] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 140.9/0.0 (S: 140.9/0.0) | Tav: 1.1
[00:08:53] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 134.3/0.0 (S: 134.3/0.0) | Tav: 1.1
[00:08:53] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 127.7/0.0 (S: 127.7/0.0) | Tav: 1.1
[00:08:53] Johny_Morales sebzest kapott tole: Emanuel_Garcia | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.8
[00:08:54] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 121.1/0.0 (S: 121.1/0.0) | Tav: 1.1
[00:08:54] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 114.5/0.0 (S: 114.5/0.0) | Tav: 1.1
[00:08:54] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 107.9/0.0 (S: 107.9/0.0) | Tav: 1.1
[00:08:55] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 101.3/0.0 (S: 101.3/0.0) | Tav: 1.1
[00:08:55] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 94.7/0.0 (S: 94.7/0.0) | Tav: 1.1
[00:08:56] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 88.1/0.0 (S: 88.1/0.0) | Tav: 1.1
[00:09:03] Johny_Morales sebzest kapott tole: Emanuel_Garcia | sebzes: Ököl (-1.9) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.6
[00:09:03] Emanuel_Garcia sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:04] Johny_Morales sebzest kapott tole: Emanuel_Garcia | sebzes: Ököl (-5.2) | E/P: 145.3/0.0 (S: 145.3/0.0) | Tav: 0.7
[00:09:04] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 81.5/0.0 (S: 81.5/0.0) | Tav: 0.7
[00:09:04] Emanuel_Garcia sebzest kapott tole: Johny_Morales | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:05] Johny_Morales sebzest kapott tole: Emanuel_Garcia | sebzes: Ököl (-6.6) | E/P: 145.3/0.0 (S: 145.3/0.0) | Tav: 0.7
[00:09:05] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 74.9/0.0 (S: 74.9/0.0) | Tav: 0.7
[00:09:05] Johny_Morales sebzest kapott tole: Emanuel_Garcia | sebzes: Ököl (-6.6) | E/P: 145.3/0.0 (S: 145.3/0.0) | Tav: 0.8
[00:09:05] Emanuel_Garcia sebzest kapott tole: Johny_Morales | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:09:06] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 68.3/0.0 (S: 68.3/0.0) | Tav: 0.7
[00:09:06] Emanuel_Garcia sebzest kapott tole: Johny_Morales | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:06] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 61.7/0.0 (S: 61.7/0.0) | Tav: 0.7
[00:09:07] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 55.1/0.0 (S: 55.1/0.0) | Tav: 0.7
[00:09:08] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 48.5/0.0 (S: 48.5/0.0) | Tav: 0.7
[00:09:09] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-1.3) | E/P: 102.4/0.0 (S: 102.4/0.0) | Tav: 0.9
[00:09:10] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-4.6) | E/P: 101.1/0.0 (S: 101.1/0.0) | Tav: 0.7
[00:09:11] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-4.6) | E/P: 96.5/0.0 (S: 96.5/0.0) | Tav: 0.7
[00:09:12] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 91.9/0.0 (S: 91.9/0.0) | Tav: 0.6
[00:09:13] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-4.6) | E/P: 85.3/0.0 (S: 85.3/0.0) | Tav: 0.8
[00:09:14] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-4.6) | E/P: 80.6/0.0 (S: 80.6/0.0) | Tav: 0.6
[00:09:15] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: PurpleDildo (-6.6) | E/P: 76.0/0.0 (S: 76.0/0.0) | Tav: 0.6
[00:09:24] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 41.9/0.0 (S: 41.9/0.0) | Tav: 0.9
[00:09:25] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 36.6/0.0 (S: 36.6/0.0) | Tav: 0.7
[00:09:25] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 0.7
[00:09:29] Stefan_D_Zecchin sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:09:58] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 1.4
[00:10:00] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:10:01] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:11:08] Jason_Toretto sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:11:48] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:11:51] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:11:52] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:11:54] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:11:54] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.9
[00:11:55] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 1.0
[00:11:56] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:11:56] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:11:57] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:12:48] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:12:49] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:13:51] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.7
[00:13:52] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.9
[00:13:53] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.7
[00:13:53] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.7
[00:13:54] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.7
[00:13:57] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:13:58] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:13:58] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:13:59] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:14:00] Leone_S_Tomasso sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:14:06] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.7
[00:14:07] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.7
[00:14:08] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
[00:14:09] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.8
[00:14:11] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:14:12] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 148.0/0.0 (S: 148.0/0.0) | Tav: 0.6
[00:14:12] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 142.7/0.0 (S: 142.7/0.0) | Tav: 0.7
[00:14:13] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 140.7/0.0 (S: 140.7/0.0) | Tav: 0.6
[00:14:14] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 135.4/0.0 (S: 135.4/0.0) | Tav: 0.7
[00:14:15] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 0.6
[00:14:16] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 126.2/0.0 (S: 126.2/0.0) | Tav: 0.6
[00:14:16] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 126.2/0.0 (S: 126.2/0.0) | Tav: 0.6
[00:14:16] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 120.9/0.0 (S: 120.9/0.0) | Tav: 1.1
[00:14:17] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 120.9/0.0 (S: 120.9/0.0) | Tav: 1.1
[00:14:18] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 107.7/0.0 (S: 107.7/0.0) | Tav: 0.7
[00:14:19] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 93.9/0.0 (S: 93.9/0.0) | Tav: 1.5
[00:14:21] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 93.9/0.0 (S: 93.9/0.0) | Tav: 0.6
[00:14:22] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 87.3/0.0 (S: 87.3/0.0) | Tav: 1.4
[00:14:24] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-1.9) | E/P: 87.3/0.0 (S: 87.3/0.0) | Tav: 1.2
[00:14:25] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.4
[00:14:25] Jason_Toretto sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-5.2) | E/P: 85.3/0.0 (S: 85.3/0.0) | Tav: 1.6
[00:14:26] Ralf_S_Tomasso sebzest kapott tole: Leone_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 150.0/67.0 (S: 150.0/67.0) | Tav: 0.6
