[00:25:42] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[00:27:58] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 4.7
[00:27:58] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 4.2
[00:27:59] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 3.0
[00:27:59] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.7
[00:27:59] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 2.7
[00:28:00] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 2.7
[00:30:02] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:02] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:03] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:03] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:03] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:04] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:04] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:05] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:05] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:05] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:06] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:06] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:06] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:07] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:07] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:08] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:08] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:08] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:09] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:09] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:09] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:10] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:30:55] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:30:56] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:30:57] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[00:30:58] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:00] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:01] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:02] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:03] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:04] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:05] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:06] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:06] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[00:31:09] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.4
[00:31:15] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:31:20] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:31:23] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.4
[00:31:23] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:32:00] Freddie_B_Scaletta sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 114.8/97.0 (S: 114.8/97.0) | Tav: 2.1
[00:32:00] Freddie_B_Scaletta sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 114.8/77.0 (S: 114.8/77.0) | Tav: 2.4
[00:32:01] Freddie_B_Scaletta sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 114.8/57.0 (S: 114.8/57.0) | Tav: 2.6
[00:32:01] Freddie_B_Scaletta sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 114.8/37.0 (S: 114.8/37.0) | Tav: 2.6
[00:32:01] Freddie_B_Scaletta sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 114.8/17.0 (S: 114.8/17.0) | Tav: 2.6
[00:32:12] Daniel_Scaletta sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 87.9/92.0 (S: 87.9/92.0) | Tav: 23.9
[00:32:12] Daniel_Scaletta sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 87.9/72.0 (S: 87.9/72.0) | Tav: 23.9
[00:32:12] Daniel_Scaletta sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-9.9) | E/P: 87.9/52.0 (S: 87.9/52.0) | Tav: 23.9
[00:33:51] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:33:51] Matt_Creed sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[00:34:05] Don_Sorrentino sebzest kapott tole: Adele_Scaletta | sebzes: MP5 (-8.2) | E/P: 81.8/5.0 (S: 81.8/5.0) | Tav: 6.2
[00:34:05] Don_Sorrentino sebzest kapott tole: Adele_Scaletta | sebzes: MP5 (-8.2) | E/P: 78.5/0.0 (S: 78.5/0.0) | Tav: 6.2
[00:34:26] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:34:27] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:34:27] Connor_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:34:48] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[00:35:07] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.3
[00:35:08] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:35:09] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
