[03:16:36] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 119.0/6.1 (S: 119.0/6.1) | Tav: 1.3
[03:16:40] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/4.1 (S: 119.0/4.1) | Tav: 0.7
[03:16:40] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 119.0/2.8 (S: 119.0/2.8) | Tav: 1.1
[03:16:42] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 119.0/0.8 (S: 119.0/0.8) | Tav: 0.7
[03:16:46] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 117.8/0.0 (S: 117.8/0.0) | Tav: 1.1
[03:16:47] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 116.5/0.0 (S: 116.5/0.0) | Tav: 1.0
[03:16:48] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 115.2/0.0 (S: 115.2/0.0) | Tav: 0.8
[03:16:48] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-2.6) | E/P: 133.2/0.0 (S: 133.2/0.0) | Tav: 0.8
[03:16:49] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 113.9/0.0 (S: 113.9/0.0) | Tav: 0.5
[03:16:49] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-1.6) | E/P: 130.5/0.0 (S: 130.5/0.0) | Tav: 0.6
[03:16:50] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 108.6/0.0 (S: 108.6/0.0) | Tav: 0.7
[03:16:50] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 102.0/0.0 (S: 102.0/0.0) | Tav: 0.6
[03:16:50] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-4.2) | E/P: 128.9/0.0 (S: 128.9/0.0) | Tav: 0.6
[03:16:50] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 95.4/0.0 (S: 95.4/0.0) | Tav: 0.7
[03:16:51] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 88.8/0.0 (S: 88.8/0.0) | Tav: 0.7
[03:16:51] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-6.6) | E/P: 124.6/0.0 (S: 124.6/0.0) | Tav: 0.7
[03:16:52] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 86.8/0.0 (S: 86.8/0.0) | Tav: 0.7
[03:22:13] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-1.3) | E/P: 91.0/0.0 (S: 91.0/0.0) | Tav: 1.4
[03:26:27] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 81.5/0.0 (S: 81.5/0.0) | Tav: 0.9
[03:26:29] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-1.3) | E/P: 20.0/0.0 (S: 20.0/0.0) | Tav: 1.4
[03:26:30] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 80.2/0.0 (S: 80.2/0.0) | Tav: 1.2
