[01:00:07] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 127.6/0.0 (S: 127.6/0.0) | Tav: 1.0
[01:00:08] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 126.2/0.0 (S: 126.2/0.0) | Tav: 0.7
[01:00:08] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 123.3/0.0 (S: 123.3/0.0) | Tav: 0.6
[01:00:09] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 60.7/0.0 (S: 60.7/0.0) | Tav: 0.7
[01:00:10] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 59.3/0.0 (S: 59.3/0.0) | Tav: 0.6
[01:00:10] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-54.1) | E/P: 119.3/0.0 (S: 119.3/0.0) | Tav: 0.6
[01:00:10] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 58.0/0.0 (S: 58.0/0.0) | Tav: 0.6
[01:00:11] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 65.2/0.0 (S: 65.2/0.0) | Tav: 0.6
[01:00:11] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 56.7/0.0 (S: 56.7/0.0) | Tav: 0.7
[01:00:12] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 58.6/0.0 (S: 58.6/0.0) | Tav: 0.6
[01:00:12] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 55.4/0.0 (S: 55.4/0.0) | Tav: 0.6
[01:00:13] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 52.0/0.0 (S: 52.0/0.0) | Tav: 0.7
[01:00:14] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 50.7/0.0 (S: 50.7/0.0) | Tav: 0.8
[01:00:16] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-54.1) | E/P: 46.7/0.0 (S: 46.7/0.0) | Tav: 1.1
[01:00:19] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[01:00:25] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Deagle (-69.3) | E/P: 54.1/0.0 (S: 54.1/0.0) | Tav: 4.7
[01:02:16] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[01:02:17] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.7
