[16:58:23] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 37.3
[16:58:50] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 24.9
[16:58:55] William_W_Andrews sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 34.3
[16:58:55] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 34.3
[16:58:59] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 29.2
[16:58:59] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 30.2
[16:59:07] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 14.0
[16:59:22] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 18.8
[16:59:57] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 27.0
[16:59:58] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 27.6
[17:00:01] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10.6
[17:00:17] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 28.9
[17:00:17] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 28.8
[17:00:18] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 30.1
[17:01:40] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[17:01:40] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.6
[17:01:41] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.5
[17:01:41] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 0.5
[17:01:41] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 0.5
[17:01:42] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[17:01:43] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 143.3/0.0 (S: 143.3/0.0) | Tav: 0.0
[17:01:44] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.3) | E/P: 142.0/0.0 (S: 142.0/0.0) | Tav: 0.7
[17:01:47] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 139.7/0.0 (S: 139.7/0.0) | Tav: 1.1
[17:03:10] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.9
[17:03:12] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[17:03:13] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.9
[17:03:14] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 1.1
[17:03:14] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-3.9) | E/P: 143.7/0.0 (S: 143.7/0.0) | Tav: 1.3
[17:03:15] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.3) | E/P: 139.7/0.0 (S: 139.7/0.0) | Tav: 1.4
[17:03:16] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.7
[17:03:16] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 146.6/0.0 (S: 146.6/0.0) | Tav: 0.7
[17:03:17] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 141.4/0.0 (S: 141.4/0.0) | Tav: 0.7
[17:03:18] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 134.8/0.0 (S: 134.8/0.0) | Tav: 0.7
[17:03:18] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 128.2/0.0 (S: 128.2/0.0) | Tav: 0.8
[17:03:19] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 121.6/0.0 (S: 121.6/0.0) | Tav: 0.8
[17:03:19] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 119.6/0.0 (S: 119.6/0.0) | Tav: 0.6
[17:03:31] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.6) | E/P: 138.4/0.0 (S: 138.4/0.0) | Tav: 0.7
[17:03:31] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 114.3/0.0 (S: 114.3/0.0) | Tav: 0.7
[17:03:32] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.6) | E/P: 135.8/0.0 (S: 135.8/0.0) | Tav: 0.5
[17:03:32] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.6) | E/P: 134.1/0.0 (S: 134.1/0.0) | Tav: 1.1
[17:03:33] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.6) | E/P: 131.5/0.0 (S: 131.5/0.0) | Tav: 1.1
[17:03:34] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-4.2) | E/P: 129.8/0.0 (S: 129.8/0.0) | Tav: 1.3
[17:03:35] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.6) | E/P: 125.5/0.0 (S: 125.5/0.0) | Tav: 1.2
